1	efficiency-demand-explosion	大家都算错了一笔账：需求不变，除以提高的效率，得出需要更少的人。可历史上每一次都反过来——煤更高效了，用量涨了十几倍；程序员从五十万涨到八百万。被 AI 冲击的行业，才是该冲进去的行业。
2	programmers-instantly-unemployed	用 Python、C 写代码这一层，已经瞬间完结了，不是慢慢被替代。但它上面冒出了全新的一层：拿自然语言编程。措手不及的是老程序员，抓住机会的，反而是那些从不会写代码的人。
3	art-is-obsolete-productivity	所有落后生产力的保护所，都叫艺术。一件事技术足够落后，就成了艺术。再过十年，手写 Python 会进展览馆，当非物质文化遗产传。就像健身——最没用的事，你只是选择去做。
4	useful-vs-seems-useful	AI 应用最大的坑，是把「好像有用」当成「有用」。星座为什么让人觉得准？同一份测试发给所有人，人人都觉得说的就是自己。让人觉得有用不是价值，可被验证才是——这就是 Coding 异军突起的原因。
5	engine-and-car	大语言模型像汽车的内燃机，很 powerful，可一个发动机摆在那儿转，对我没用。得给它装一个驾驶层——方向盘、油门、四个轮子——它才成为一辆车。造发动机难，造车不难。Claude Code 就是那一层。
6	no-one-person-company	都说未来是一人公司，我不信。两百年前一个铁匠、一个木匠，才是标准的一人公司。技术越发展，公司越大，才有了万亿美金的巨头。AI 让一个人能干很多人的活，但更大规模协作的需求，只会更强。
7	infinite-intelligence-mind-cage	我们今天很多规矩，都是为了省「智能」打的补丁：做一个版本，因为只能做一个；对标准答案，因为老师改不过来。当智能无限，教育可以一人一个版本。最难打破的，是脑子里那个「只能这样」。
8	one-person-likes-it	过去所有人看一样的报纸、一样的电视，是频道稀缺下的妥协。当频道不再稀缺，只要有一个人此刻喜欢，就值得被生产、被看、被扔掉。按旧标准这叫垃圾，其实是我们还没适应。
9	skill-is-new-program	99% 的人用 AI 只会聊天，而聊天是没有积累的——像你会用 Word，却从不按保存键，每次打开都是空白。要学会保存：今天写一页，明天写一页，几个月后就是一本几百页的操作手册。这就是新时代的程序。
10	hello-130k-chars	你以为打个 hello 过去，是五个字符换十几个字符？用工具看一下：装了些 skill 之后，第一个请求就发过去十三万字，几轮后每轮上百万 token。比两年前的 ChatGPT 涨了几千倍。这就是智能消耗的爆炸。
11	school-bans-ai-like-google	学校禁学生用 AI，跟当年大学禁 Google 一模一样——都假设「这个技能很重要，新工具让它能作弊了」。可反过来想：如果这个技能不重要，那就让它不重要好了。
12	useful-cant-be-built	现在的 AI 创业，跟早期互联网一样：一天冒出几百个网页，绝大多数灰飞烟灭。新技术的繁荣期就是——凡是有用的做不出来，凡是做出来的没啥用。一旦做出来且非常有用，它就成了下一个 Anthropic。
13	waste-more-tokens	我最近逢人就劝：多用点 Token，浪费也好。很多人省，是想省钱；可当 Token 无限了，你会发现还是用不完——限制你的从来不是钱，是你的脑子。
14	ai-for-science-einstein	传统科学家说 AI 是黑盒，不算科学。可你也没法解剖爱因斯坦怎么想出相对论——这不重要，重要的是相对论拿去跟现实对得上。机器产出理论，我们用老办法验证就行。他们真正抵触的，是那个脑子不是人的脑子。
15	relearn-to-walk	深夜跟一个二十年前一起写程序的老朋友聊天，他说看我 GitHub 的 commit 密度跟他很像。我们这批人都在放低身段，重新学写第一个 skill。没有人有先天优势，肯一头扎进去的，才有。
16	programmer-hierarchy	程序员有条鄙视链：会 C 的看不起写 Python 的，写 Python 的看不起写 JavaScript 的，写 JS 的看不起写 HTML 的，写 HTML 的看不起拿 Word 做网页的。每个人都把「真程序员」那根线，画在自己屁股后面。
